INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
225725570,03/16/2021,03:53:00,BRONX,46,0,,false,25-44,M,WHITE HISPANIC,45-64,M,BLACK,"1,010,802","249,668",40.851924272000076,-73.90402418499998,POINT (-73.90402418499998 40.851924272000076)
238036436,12/18/2021,15:39:00,QUEENS,113,0,,false,,,,25-44,M,WHITE HISPANIC,"1,045,709","186,746",40.67904625700004,-73.77842187299996,POINT (-73.77842187299996 40.67904625700004)
237438857,12/06/2021,19:30:00,BRONX,47,0,,false,,,,65+,M,BLACK,"1,020,578","258,708",40.87670150100007,-73.86863801299995,POINT (-73.86863801299995 40.87670150100007)
233147094,09/04/2021,15:39:00,BRONX,49,0,,false,,,,<18,M,BLACK,"1,020,207","253,133",40.86140136000005,-73.87000947599995,POINT (-73.87000947599995 40.86140136000005)
224702000,02/22/2021,17:20:00,BROOKLYN,81,0,,false,18-24,M,BLACK,25-44,M,BLACK,"1,003,410","191,481",40.69223536100003,-73.93090985099997,POINT (-73.93090985099997 40.69223536100003)
234973158,10/14/2021,09:57:00,MANHATTAN,32,0,,false,<18,M,BLACK,<18,M,BLACK,"1,000,746","237,029",40.817258380000055,-73.94040458099995,POINT (-73.94040458099995 40.817258380000055)
236950605,11/26/2021,02:20:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,"1,006,290","179,847",40.660295959000045,-73.92056252499998,POINT (-73.92056252499998 40.660295959000045)
237290043,12/03/2021,02:25:00,BROOKLYN,60,0,PVT HOUSE,false,,,,25-44,M,WHITE HISPANIC,"994,256","150,750",40.580452527000034,-73.96397986499993,POINT (-73.96397986499993 40.580452527000034)
229283289,06/08/2021,09:52:00,BRONX,43,0,,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK,"1,020,518","242,653",40.83263560100005,-73.86894183199998,POINT (-73.86894183199998 40.83263560100005)
225063428,03/02/2021,22:35:00,MANHATTAN,32,0,GROCERY/BODEGA,false,18-24,M,BLACK,18-24,M,BLACK,"998,593","235,938",40.814267648000055,-73.94818528599995,POINT (-73.94818528599995 40.814267648000055)
227551204,04/29/2021,19:30:00,BROOKLYN,90,0,RESTAURANT/DINER,false,18-24,M,BLACK,25-44,M,WHITE,"994,854","197,852",40.70973665300004,-73.96175303399998,POINT (-73.96175303399998 40.70973665300004)
232497427,08/19/2021,21:30:00,QUEENS,113,0,,false,,,,18-24,F,BLACK,"1,048,357","195,417",40.70282729400003,-73.76879250699994,POINT (-73.76879250699994 40.70282729400003)
234756217,10/09/2021,20:17:00,BROOKLYN,71,0,,false,,,,25-44,M,BLACK,"996,148","181,562",40.66502269100005,-73.95711436799998,POINT (-73.95711436799998 40.66502269100005)
232264786,08/14/2021,00:13:00,BROOKLYN,79,0,,false,,,,25-44,M,BLACK,"998,989","189,991",40.688154120000036,-73.94685537799995,POINT (-73.94685537799995 40.688154120000036)
232291899,08/14/2021,04:11:00,BRONX,46,0,,false,,,,25-44,M,BLACK,"1,008,497","248,717",40.84932069000007,-73.91235948099995,POINT (-73.91235948099995 40.84932069000007)
238312742,12/26/2021,12:20:00,QUEENS,105,0,,true,,,,25-44,M,BLACK,"1,048,918","180,219",40.66110829900003,-73.76691505799994,POINT (-73.76691505799994 40.66110829900003)
230788300,07/13/2021,01:28:00,BROOKLYN,63,0,,false,25-44,M,BLACK,25-44,M,BLACK,"1,003,865","168,110",40.628086130000035,-73.92933708799995,POINT (-73.92933708799995 40.628086130000035)
227344442,04/24/2021,23:31:00,BROOKLYN,76,0,,false,,,,25-44,F,BLACK,"982,485","188,085",40.68293467900003,-74.00636520499995,POINT (-74.00636520499995 40.68293467900003)
222524733,01/01/2021,00:16:00,QUEENS,108,0,,false,,,,<18,M,BLACK,"998,549","213,987",40.75401807000002,-73.94839096099996,POINT (-73.94839096099996 40.75401807000002)
238433139,12/29/2021,19:09:00,BRONX,48,0,,false,,,,18-24,M,BLACK,"1,018,767","244,138",40.83671851100007,-73.87526167199997,POINT (-73.87526167199997 40.83671851100007)
224556085,02/18/2021,13:09:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,"1,009,910","184,163",40.67213266600004,-73.90749851699996,POINT (-73.90749851699996 40.67213266600004)
237963147,12/16/2021,11:20:00,BRONX,40,0,,false,,,,25-44,F,BLACK,"1,008,068","236,071",40.81461223200006,-73.91395501999993,POINT (-73.91395501999993 40.81461223200006)
230606421,07/08/2021,01:16:00,QUEENS,113,0,,false,,,,<18,M,BLACK,"1,041,835","189,204",40.68581893900005,-73.79236783699997,POINT (-73.79236783699997 40.68581893900005)
227950638,05/05/2021,18:17:00,BRONX,48,0,,false,,,,25-44,M,BLACK HISPANIC,"1,017,061","246,371",40.84285394400007,-73.88141599399995,POINT (-73.88141599399995 40.84285394400007)
226503935,04/03/2021,18:23:00,BRONX,44,0,,true,18-24,M,BLACK,65+,M,BLACK,"1,008,053","241,673",40.82998817300006,-73.91398933899995,POINT (-73.91398933899995 40.82998817300006)
233502665,09/13/2021,15:50:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,false,<18,M,BLACK,<18,F,BLACK,"1,018,075","179,398",40.65902637800008,-73.87808806799995,POINT (-73.87808806799995 40.65902637800008)
235943069,11/05/2021,23:05:00,BROOKLYN,75,0,,true,,,,25-44,M,BLACK,"1,014,207","185,452",40.67565718100008,-73.89200234699997,POINT (-73.89200234699997 40.67565718100008)
237392756,12/05/2021,22:16:00,BRONX,44,0,,false,,,,18-24,F,BLACK HISPANIC,"1,007,687","246,038",40.84196981100007,-73.91529662699998,POINT (-73.91529662699998 40.84196981100007)
238040455,12/18/2021,02:55:00,BRONX,45,0,,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"1,027,428","246,132",40.84215335500005,-73.84394920799997,POINT (-73.84394920799997 40.84215335500005)
