lat,lon
40.764442,-73.925804
40.760147,-73.917183
40.763908,-73.925873
40.764484,-73.927193
40.758385,-73.914314
40.762337,-73.922714
40.761127,-73.92041
40.758041,-73.91394
40.760738,-73.919952
40.759033,-73.916901
40.761063,-73.92186
40.7631,-73.926537
40.760334,-73.917122
40.759953,-73.916763
40.764542,-73.926628
40.769646,-73.917549
40.755997,-73.928787
40.769646,-73.917122
40.759926,-73.92231
40.763519,-73.922234
40.761337,-73.926994
40.755302,-73.912994
40.756573,-73.915771
40.756393,-73.915756
40.757732,-73.919228
40.758808,-73.923332
40.759968,-73.925682
40.75972,-73.922478
40.756573,-73.915771
40.75877,-73.923248
40.7547,-73.915085
40.761208,-73.923447
40.763519,-73.921455
40.761929,-73.928986
40.763229,-73.933998
40.758293,-73.924721
40.755295,-73.926697
40.759876,-73.929146
40.759563,-73.928772
40.764503,-73.939568
40.757694,-73.924774
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.764545,-73.941284
40.758293,-73.924721
40.763626,-73.940117
40.756413,-73.925629
40.756413,-73.925629
40.75705,-73.927345
40.760315,-73.921562
40.762207,-73.939995
40.75782,-73.930191
40.761436,-73.942062
40.754128,-73.926018
40.755917,-73.930687
40.755524,-73.930351
40.755924,-73.928978
40.754311,-73.925476
40.764702,-73.916389
40.764629,-73.91626
40.764214,-73.915993
40.761669,-73.918419
40.775635,-73.90377
40.771267,-73.908737
40.77449,-73.932251
40.775658,-73.900795
40.767242,-73.910484
40.770065,-73.907013
40.775578,-73.900894
40.764606,-73.911522
40.773167,-73.901405
40.760124,-73.91423
40.75502,-73.917007
40.75502,-73.917007
40.770721,-73.902794
40.765106,-73.938736
40.788708,-73.781822
40.788704,-73.782005
40.78878,-73.781769
40.788513,-73.78186
40.785568,-73.794304
40.783642,-73.778091
40.782997,-73.777916
40.782997,-73.777916
40.782997,-73.777916
40.788204,-73.789627
40.784412,-73.777138
40.762814,-73.784752
40.774063,-73.787537
40.760418,-73.781166
40.762619,-73.771652
40.763535,-73.774216
40.760925,-73.770988
40.785122,-73.778809
40.766953,-73.771591
40.783775,-73.777191
40.785412,-73.778137
40.758415,-73.766617
40.764198,-73.770622
40.769085,-73.771103
40.768093,-73.773659
40.767437,-73.773788
40.765793,-73.773354
40.765793,-73.773354
40.766132,-73.773499
40.763828,-73.774803
40.762844,-73.777946
40.761398,-73.783806
40.764168,-73.766457
40.763683,-73.767723
40.760647,-73.782188
40.76281,-73.767029
40.76207,-73.771477
40.759182,-73.780128
40.762833,-73.758919
40.759178,-73.77597
40.762917,-73.759041
40.760845,-73.762505
40.754402,-73.773834
40.756023,-73.765953
40.787495,-73.780243
40.78878,-73.781769
40.774429,-73.775276
40.784386,-73.784966
40.770763,-73.789154
40.785057,-73.779053
40.787098,-73.778809
40.787495,-73.780243
40.761875,-73.771385
40.762844,-73.777946
40.766045,-73.767677
40.765793,-73.773354
40.763893,-73.771935
40.764198,-73.772339
40.762939,-73.777679
40.761047,-73.770706
40.735546,-73.714882
40.728588,-73.72908
40.729145,-73.725555
40.708729,-73.814178
40.710941,-73.815048
40.849545,-73.847404
40.882191,-73.883179
40.857285,-73.9049
40.857285,-73.9049
40.809708,-73.801888
40.883129,-73.852821
40.832542,-73.886047
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.80505,-73.923233
40.831032,-73.827408
40.830151,-73.920135
40.85537,-73.859772
40.834667,-73.819862
40.850418,-73.8564
40.83078,-73.829422
40.824776,-73.899132
40.829819,-73.916466
40.829819,-73.916466
40.829819,-73.916466
40.828819,-73.913956
40.825401,-73.877769
40.849819,-73.907654
40.824768,-73.887444
40.824768,-73.887444
40.849094,-73.854622
40.829803,-73.832634
40.829086,-73.913795
40.824902,-73.88147
40.830467,-73.917122
40.825008,-73.881493
40.834312,-73.926369
40.830822,-73.916916
40.834656,-73.927765
40.826267,-73.887573
40.834846,-73.925919
40.829842,-73.850868
40.829842,-73.850868
40.834797,-73.924538
40.826859,-73.87561
40.835587,-73.926506
40.827686,-73.870522
40.807869,-73.928932
40.807869,-73.928932
