lat,lon,price,beds,price_per_bed,price_per_bed_scale
40.829803,-73.832634,2500,3,833,83.3
40.829086,-73.913795,2000,3,667,66.7
40.824902,-73.88147,2569,3,856,85.6
40.830467,-73.917122,2000,2,1000,100
40.825008,-73.881493,2050,2,1025,102.5
40.834312,-73.926369,2100,2,1050,105
40.830822,-73.916916,2350,2,1175,117.5
40.834656,-73.927765,2000,1,2000,200
40.826267,-73.887573,2805,3,935,93.5
40.834846,-73.925919,2550,3,850,85
40.829842,-73.850868,2450,3,817,81.7
40.829842,-73.850868,2400,3,800,80
40.834797,-73.924538,1495,1,1495,149.5
40.826859,-73.87561,2500,3,833,83.3
40.835587,-73.926506,2500,4,625,62.5
40.827686,-73.870522,2600,3,867,86.7
40.807869,-73.928932,2650,1,2650,265
40.807869,-73.928932,2500,2,1250,125
40.807869,-73.928932,2900,2,1450,145
40.827465,-73.893646,1850,2,925,92.5
40.827351,-73.874771,1550,1,1550,155
40.827351,-73.874771,1135,1,1135,113.5
40.826565,-73.879921,1600,1,1600,160
40.856686,-73.856392,2650,2,1325,132.5
40.856686,-73.856392,1650,1,1650,165
40.856686,-73.856392,2099,1,2099,209.9
40.828636,-73.867821,2000,2,1000,100
40.829735,-73.86087,1900,2,950,95
40.883209,-73.898117,1650,1,1650,165
40.827991,-73.877792,1525,1,1525,152.5
40.827759,-73.879608,2500,3,833,83.3
40.839424,-73.874832,2500,3,833,83.3
40.832729,-73.915131,2295,2,1148,114.8
40.8363,-73.923042,1675,1,1675,167.5
40.849819,-73.910072,2565,3,855,85.5
40.859539,-73.852386,1700,1,1700,170
40.829357,-73.878113,2500,3,833,83.3
40.829151,-73.8815,2805,3,935,93.5
40.828831,-73.895081,2000,2,1000,100
40.829647,-73.881989,2100,2,1050,105
40.830856,-73.868332,1700,1,1700,170
40.835449,-73.916168,1650,1,1650,165
40.831017,-73.872627,1600,1,1600,160
40.835052,-73.914825,1595,1,1595,159.5
40.834198,-73.848793,2554,3,851,85.1
40.834198,-73.848793,2654,3,885,88.5
40.832127,-73.874474,2800,3,933,93.3
40.836399,-73.914055,1999,2,1000,100
40.831921,-73.901512,2569,3,856,85.6
40.836803,-73.837616,2800,3,933,93.3
40.833611,-73.871315,1900,2,950,95
40.837536,-73.835335,2800,3,933,93.3
40.835423,-73.909477,3200,4,800,80
40.83728,-73.913406,1575,1,1575,157.5
40.867756,-73.846588,2200,2,1100,110
40.833138,-73.879929,1650,1,1650,165
40.836391,-73.908951,2250,2,1125,112.5
40.842312,-73.922302,1800,1,1800,180
40.842312,-73.922302,1600,1,1600,160
40.833443,-73.898422,2700,4,675,67.5
40.88501,-73.89444,1675,1,1675,167.5
40.862663,-73.907341,1800,1,1800,180
40.830254,-73.88913,2499,2,1250,125
40.830254,-73.88913,1750,1,1750,175
40.837673,-73.861992,1550,1,1550,155
40.840816,-73.83004,1900,1,1900,190
40.836361,-73.847954,1800,2,900,90
40.835468,-73.87233,2600,3,867,86.7
40.837673,-73.861992,1600,1,1600,160
40.836422,-73.867355,2000,2,1000,100
40.842552,-73.919746,1200,1,1200,120
40.837315,-73.869759,2250,3,750,75
40.839523,-73.909157,1595,1,1595,159.5
40.879307,-73.848061,1700,2,850,85
40.84063,-73.910828,1556,1,1556,155.6
40.84063,-73.910828,1695,1,1695,169.5
40.837662,-73.861984,1500,1,1500,150
40.843391,-73.848221,2200,3,733,73.3
40.8652,-73.84285,2550,3,850,85
40.841614,-73.9132,1795,1,1795,179.5
40.861069,-73.842705,2275,2,1138,113.8
40.833359,-73.88665,3006,4,752,75.2
40.84642,-73.785568,1600,1,1600,160
40.841545,-73.911255,1700,1,1700,170
40.836109,-73.858932,1500,1,1500,150
40.838188,-73.861183,1600,1,1600,160
40.839542,-73.864151,2565,3,855,85.5
40.839542,-73.864151,2565,3,855,85.5
40.867119,-73.840317,3000,3,1000,100
40.867119,-73.840317,3000,3,1000,100
40.842464,-73.834961,2800,3,933,93.3
40.838612,-73.856522,1600,1,1600,160
40.843407,-73.828934,1900,2,950,95
40.84304,-73.912498,2250,2,1125,112.5
40.848137,-73.923653,2400,2,1200,120
40.848137,-73.923653,2400,2,1200,120
40.848137,-73.923653,2400,2,1200,120
40.841145,-73.867378,1800,2,900,90
40.845081,-73.8339,2400,3,800,80
40.838612,-73.856522,1625,1,1625,162.5
40.843884,-73.862122,1700,1,1700,170
40.842854,-73.864594,2659,3,886,88.6
40.845364,-73.833862,1800,1,1800,180
40.844917,-73.836212,1600,1,1600,160
40.848171,-73.816628,2145,2,1073,107.3
40.8484,-73.850296,1850,1,1850,185
40.844452,-73.912041,1300,1,1300,130
40.840569,-73.858856,1535,1,1535,153.5
40.844017,-73.909752,1650,1,1650,165
40.844559,-73.910706,1744,1,1744,174.4
40.844524,-73.909103,1750,1,1750,175
40.844486,-73.909729,1650,1,1650,165
40.850239,-73.84832,2200,3,733,73.3
40.847103,-73.856262,2600,3,867,86.7
40.846451,-73.830055,2250,3,750,75
40.84589,-73.832764,1500,1,1500,150
40.847084,-73.828781,2500,3,833,83.3
40.841656,-73.850754,1650,1,1650,165
40.846706,-73.91098,1500,1,1500,150
40.844975,-73.864754,2835,4,709,70.9
40.842018,-73.870659,2712,3,904,90.4
40.820587,-73.866814,1500,1,1500,150
40.847332,-73.828941,2700,3,900,90
40.847393,-73.828979,2700,4,675,67.5
40.847393,-73.828979,2675,4,669,66.9
40.846748,-73.831306,2400,2,1200,120
40.843254,-73.870193,2425,3,808,80.8
40.847935,-73.911354,2700,3,900,90
40.84568,-73.909622,1675,1,1675,167.5
40.846371,-73.9077,1414,1,1414,141.4
40.847622,-73.832153,2100,2,1050,105
40.847775,-73.832649,2200,3,733,73.3
40.846306,-73.866135,1375,1,1375,137.5
40.840824,-73.887756,2200,2,1100,110
40.848663,-73.834373,1600,2,800,80
40.852524,-73.914948,2050,1,2050,205
40.852524,-73.914948,2275,2,1138,113.8
40.852524,-73.914948,2900,3,967,96.7
40.853233,-73.914482,2835,4,709,70.9
40.875122,-73.8815,2100,2,1050,105
40.874962,-73.881187,1199,1,1199,119.9
40.848454,-73.8647,2400,3,800,80
40.84848,-73.865562,1550,1,1550,155
40.85014,-73.833313,1450,1,1450,145
40.854233,-73.851387,2200,2,1100,110
40.850826,-73.830933,2100,2,1050,105
40.80978,-73.853668,1600,1,1600,160
40.854828,-73.851875,1700,1,1700,170
40.840569,-73.858833,1500,1,1500,150
40.840569,-73.858856,1950,2,975,97.5
40.846466,-73.891022,2750,3,917,91.7
40.85178,-73.907143,2500,3,833,83.3
40.875641,-73.912392,2000,2,1000,100
40.863354,-73.899513,1300,1,1300,130
40.825871,-73.854591,1475,1,1475,147.5
40.852379,-73.907104,2350,2,1175,117.5
40.852383,-73.907089,1824,1,1824,182.4
40.852383,-73.907089,1800,1,1800,180
40.850899,-73.900787,1300,1,1300,130
40.853149,-73.858795,2500,3,833,83.3
40.852776,-73.906731,1848,1,1848,184.8
40.834259,-73.856377,2000,2,1000,100
40.85025,-73.895927,2400,3,800,80
40.830143,-73.854828,1600,1,1600,160
40.828018,-73.854164,2500,3,833,83.3
40.85289,-73.86499,1750,1,1750,175
40.852737,-73.863762,2500,2,1250,125
40.849346,-73.889931,2659,3,886,88.6
40.855091,-73.828583,1975,1,1975,197.5
40.853909,-73.866432,1750,1,1750,175
40.847019,-73.88485,2385,2,1193,119.3
40.853203,-73.898338,2300,2,1150,115
40.835331,-73.915817,1400,1,1400,140
